"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 22 21:16:35 GMT 2024","Fri Nov 22 21:16:35 GMT 2024","3","","org.example.problems.MaximumSumOfTwoNonOverlappingSubarraysTest","","org.example.problems.MaximumSumOfTwoNonOverlappingSubarraysTest","maxSumTwoNoOverlap_3ms","maxSumTwoNoOverlap_3ms(int[], int, int, int) Case 1: nums=[0, 6, 5, 2, 2, 5, 1, 9, 4], firstLen=1, secondLen=2, output=20",""
"passed","Fri Nov 22 21:16:35 GMT 2024","Fri Nov 22 21:16:35 GMT 2024","3","","org.example.problems.CardFlippingGameTest","","org.example.problems.CardFlippingGameTest","testFlipgame_6ms","testFlipgame_6ms(int[], int[], int) Case 1: fronts=[1, 2, 4, 4, 7], backs=[1, 3, 4, 1, 3], output=2",""
"passed","Fri Nov 22 21:16:35 GMT 2024","Fri Nov 22 21:16:35 GMT 2024","3","","org.example.problems.InsertIntervalTest","","org.example.problems.InsertIntervalTest","testInsert_1ms","testInsert_1ms(int[][], int[], int[][]) Case 1: intervals=[[1, 3], [6, 9]], newInterval=[2, 5], output=[[1, 5], [6, 9]]",""
"passed","Fri Nov 22 21:16:35 GMT 2024","Fri Nov 22 21:16:35 GMT 2024","5","","org.example.problems.MeetingSchedulerTest","","org.example.problems.MeetingSchedulerTest","minAvailableDuration","minAvailableDuration(int[][], int[][], int, List) Case 1: slots1=[[10, 50], [60, 120], [140, 210]], slots2=[[0, 15], [60, 70]], duration=8, output=[60, 68]",""
"passed","Fri Nov 22 21:16:35 GMT 2024","Fri Nov 22 21:16:35 GMT 2024","2","","org.example.problems.FindPivotIndexTest","","org.example.problems.FindPivotIndexTest","testPivotIndex_1ms","testPivotIndex_1ms(int[], int) Case 2: nums=[1, 2, 3], output=-1",""
"passed","Fri Nov 22 21:16:35 GMT 2024","Fri Nov 22 21:16:35 GMT 2024","1","","org.example.problems.MaxProductOfThreeNumbersTest","","org.example.problems.MaxProductOfThreeNumbersTest","maximumProduct_3ms","maximumProduct_3ms(int[], int) Case 2: num=[1, 2, 3, 4], output=24",""
"passed","Fri Nov 22 21:16:35 GMT 2024","Fri Nov 22 21:16:35 GMT 2024","2","","org.example.problems.ArrayPartitionTest","","org.example.problems.ArrayPartitionTest","testArrayPairSum_13ms","testArrayPairSum_13ms(int[], int) Case 2: nums=[6, 2, 6, 5, 1, 2], output=9",""
"passed","Fri Nov 22 21:16:35 GMT 2024","Fri Nov 22 21:16:35 GMT 2024","1","","org.example.problems.LongestLineOfConsecutiveOneInMatrixTest","","org.example.problems.LongestLineOfConsecutiveOneInMatrixTest","testLongestLine","testLongestLine(int[][], int) Case 1: matrix=[[1, 1, 0, 0, 1, 0, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 1, 1, 1], [1, 1, 1, 0, 0, 1, 1, 1, 1, 0], [0, 1, 1, 1, 0, 1, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 0, 1, 1, 1], [0, 1, 1, 1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0, 0, 1, 1, 1], [0, 1, 0, 1, 1, 0, 1, 1, 1, 1], [1, 1, 1, 0, 1, 0, 1, 1, 1, 1]], output=9",""
"passed","Fri Nov 22 21:16:35 GMT 2024","Fri Nov 22 21:16:35 GMT 2024","1","","org.example.problems.MatrixCellsInDistanceOrderTest","","org.example.problems.MatrixCellsInDistanceOrderTest","testAllCellsDistOrder_24ms","testAllCellsDistOrder_24ms(int, int, int, int, int[][]) Case 2: rows=2, cols=2, rCenter=0, cCenter=1, output=[[0, 1], [0, 0], [1, 1], [1, 0]]",""
"passed","Fri Nov 22 21:16:35 GMT 2024","Fri Nov 22 21:16:35 GMT 2024","1","","org.example.problems.FirstMissingPositiveTest","","org.example.problems.FirstMissingPositiveTest","testFirstMissingPositive_13ms","testFirstMissingPositive_13ms(int[], int) Case 2: nums=[3, 4, -1, 1], output=2",""
